# step,rank,entropy,components,curvature,nabla_t
0.000000,13.000000,2.611132,6.000000,57.096481,24.590600
1.000000,10.000000,2.448734,5.000000,11.888226,8.013191
2.000000,9.000000,2.301471,2.000000,2.191250,3.472898
3.000000,10.000000,2.452514,1.000000,1.379859,1.631356
4.000000,8.000000,2.418964,0.000000,0.070751,1.113667
5.000000,9.000000,2.537568,0.000000,0.061007,0.326610
6.000000,9.000000,2.231265,0.000000,0.016581,0.248199
7.000000,9.000000,2.248033,0.000000,0.008246,0.174328
8.000000,10.000000,2.500798,0.000000,0.007692,0.144140
9.000000,9.000000,2.376004,0.000000,0.003601,0.113992
10.000000,9.000000,2.498373,0.000000,0.003776,0.121625
11.000000,9.000000,2.305598,0.000000,0.002266,0.120304
12.000000,9.000000,2.486634,0.000000,0.003734,0.099538
13.000000,9.000000,2.560166,0.000000,0.002166,0.107856
14.000000,8.000000,2.383259,0.000000,0.004554,0.115021
15.000000,9.000000,2.550462,0.000000,0.006902,0.125454
16.000000,9.000000,2.554105,0.000000,0.006587,0.138348
17.000000,9.000000,2.523839,0.000000,0.005060,0.123656
18.000000,9.000000,2.648261,0.000000,0.008944,0.135547
19.000000,8.000000,2.507037,0.000000,0.004106,0.129566
20.000000,9.000000,2.579836,0.000000,0.005930,0.126343
21.000000,9.000000,2.470322,0.000000,0.004593,0.129168
22.000000,9.000000,2.473517,0.000000,0.003544,0.129820
23.000000,9.000000,2.649522,0.000000,0.005628,0.117398
24.000000,8.000000,2.389366,0.000000,0.006349,0.135656
25.000000,9.000000,2.340122,0.000000,0.014240,0.153723
26.000000,10.000000,2.433154,0.000000,0.004852,0.145372
27.000000,9.000000,2.414299,0.000000,0.005999,0.120942
28.000000,9.000000,2.523907,0.000000,0.004153,0.132613
29.000000,9.000000,2.584124,0.000000,0.003532,0.116228
30.000000,9.000000,2.527139,0.000000,0.003395,0.120006
31.000000,9.000000,2.565354,0.000000,0.006331,0.130167
32.000000,8.000000,2.532027,0.000000,0.002820,0.124217
33.000000,9.000000,2.612962,0.000000,0.003905,0.104136
34.000000,9.000000,2.345518,0.000000,0.003755,0.103965
35.000000,9.000000,2.234025,0.000000,0.005761,0.117602
36.000000,9.000000,2.585747,0.000000,0.007408,0.137205
37.000000,8.000000,2.583405,0.000000,0.004496,0.142677
38.000000,9.000000,2.569970,0.000000,0.006965,0.146042
39.000000,9.000000,2.326659,0.000000,0.003821,0.159296
40.000000,9.000000,2.444089,0.000000,0.013724,0.159945
41.000000,8.000000,2.579460,0.000000,0.031426,0.182422
42.000000,9.000000,2.504971,0.000000,0.043458,0.212957
43.000000,9.000000,2.561273,0.000000,0.015947,0.239063
44.000000,9.000000,2.480300,0.000000,0.006306,0.170739
45.000000,9.000000,2.542043,0.000000,0.002427,0.110813
46.000000,9.000000,2.604986,0.000000,0.010169,0.135860
47.000000,9.000000,2.507338,0.000000,0.007421,0.153302
48.000000,9.000000,2.687904,0.000000,0.006911,0.137236
49.000000,8.000000,2.539625,0.000000,0.004514,0.132016
50.000000,9.000000,2.549011,0.000000,0.005976,0.141475
51.000000,9.000000,2.502610,0.000000,0.005369,0.129644
52.000000,9.000000,2.493724,0.000000,0.004297,0.125312
53.000000,9.000000,2.553832,0.000000,0.003536,0.112880
54.000000,9.000000,2.439430,0.000000,0.002852,0.115238
55.000000,9.000000,2.624113,0.000000,0.004180,0.127211
56.000000,9.000000,2.436826,0.000000,0.004461,0.140035
57.000000,9.000000,2.641418,0.000000,0.003196,0.113554
58.000000,10.000000,2.514353,0.000000,0.010498,0.125742
59.000000,8.000000,2.504138,0.000000,0.005859,0.135700
60.000000,10.000000,2.520312,0.000000,0.004216,0.126817
61.000000,8.000000,2.426357,0.000000,0.005084,0.118669
62.000000,9.000000,2.575450,0.000000,0.004337,0.108975
63.000000,9.000000,2.444794,0.000000,0.003874,0.123462
64.000000,8.000000,2.568274,0.000000,0.007988,0.142305
65.000000,9.000000,2.427086,0.000000,0.003878,0.130531
66.000000,9.000000,2.582767,0.000000,0.003410,0.105434
67.000000,8.000000,2.442663,0.000000,0.001464,0.102306
68.000000,9.000000,2.631792,0.000000,0.007051,0.115132
69.000000,8.000000,2.590834,0.000000,0.003348,0.126251
70.000000,9.000000,2.425885,0.000000,0.005268,0.110826
71.000000,10.000000,2.301721,0.000000,0.004971,0.127599
72.000000,10.000000,2.678996,0.000000,0.006760,0.134976
73.000000,9.000000,2.593353,0.000000,0.002890,0.124151
74.000000,9.000000,2.556791,0.000000,0.003139,0.119405
75.000000,9.000000,2.589255,0.000000,0.005735,0.123088
76.000000,9.000000,2.520431,0.000000,0.003706,0.111699
77.000000,9.000000,2.461364,0.000000,0.003779,0.122396
78.000000,9.000000,2.404728,0.000000,0.008076,0.134511
79.000000,10.000000,2.555278,0.000000,0.004657,0.141344
80.000000,10.000000,2.412133,0.000000,0.004220,0.120844
81.000000,9.000000,2.542108,0.000000,0.003911,0.118844
82.000000,10.000000,2.588888,0.000000,0.005228,0.124293
83.000000,9.000000,2.636621,0.000000,0.008936,0.154186
84.000000,9.000000,2.605228,0.000000,0.003084,0.144336
85.000000,9.000000,2.461966,0.000000,0.005118,0.105021
86.000000,9.000000,2.482174,0.000000,0.006176,0.128494
87.000000,9.000000,2.613399,0.000000,0.004768,0.125450
88.000000,8.000000,2.572623,0.000000,0.008257,0.131781
89.000000,9.000000,2.407876,0.000000,0.004583,0.124795
90.000000,9.000000,2.424727,0.000000,0.003428,0.112015
91.000000,9.000000,2.467950,0.000000,0.008342,0.128272
92.000000,9.000000,2.434976,0.000000,0.005884,0.145509
93.000000,8.000000,2.559306,0.000000,0.012948,0.158972
94.000000,8.000000,2.543964,0.000000,0.006222,0.158443
95.000000,9.000000,2.547923,0.000000,0.004568,0.127522
96.000000,9.000000,2.593668,0.000000,0.005844,0.131966
97.000000,9.000000,2.424173,0.000000,0.004169,0.138831
98.000000,9.000000,2.483775,0.000000,0.004467,0.118712
99.000000,9.000000,2.326552,0.000000,0.005941,0.128211
100.000000,9.000000,2.500105,0.000000,0.006141,0.127998
101.000000,9.000000,2.229384,0.000000,0.040520,0.163724
102.000000,9.000000,2.377815,0.000000,0.316292,0.389060
103.000000,9.000000,2.164998,1.000000,3.239405,1.093835
104.000000,9.000000,2.327171,3.000000,33.962713,4.147721
105.000000,8.000000,2.142372,4.000000,378.953312,13.911846
106.000000,9.000000,2.110015,3.000000,4313.590265,75.924991
107.000000,9.000000,2.058929,1.000000,51048.743477,725.617217
108.000000,9.000000,2.083305,2.000000,623313.507416,7199.918333
109.000000,9.000000,2.123591,2.000000,7888486.425704,87050.345040
110.000000,9.000000,2.150441,2.000000,103030140.562523,996804.009164
111.000000,9.000000,2.160392,1.000000,1384249516.798990,12108408.486446
112.000000,9.000000,2.168816,1.000000,19027537104.753956,147075778.487052
113.000000,9.000000,2.171912,1.000000,266311269058.209961,1839255327.265794
114.000000,9.000000,2.174437,1.000000,3778204621399.462402,23309354117.380672
115.000000,9.000000,2.174895,1.000000,54141700879974.296875,301419526547.411377
116.000000,10.000000,2.174892,1.000000,781480787476272.625000,3955723553275.587402
117.000000,10.000000,2.174017,1.000000,11338481959013624.000000,52733592360074.500000
118.000000,10.000000,2.172861,1.000000,165116656837990304.000000,712254829991069.500000
119.000000,11.000000,2.171373,1.000000,2410813709309684736.000000,9739893883260996.000000
120.000000,11.000000,2.169800,1.000000,35265058798776868864.000000,134617651711873936.000000
121.000000,12.000000,2.168176,1.000000,516538657260795592704.000000,1878435763350704128.000000
122.000000,12.000000,2.166609,1.000000,7573131158629455495168.000000,26427736966445592576.000000
123.000000,12.000000,2.165129,1.000000,111108662757360895262720.000000,374476981162168483840.000000
124.000000,13.000000,2.163778,1.000000,1630943660270802924732416.000000,5338664333705944760320.000000
125.000000,13.000000,2.162565,1.000000,23949191446093360986587136.000000,76505213801307704393728.000000
126.000000,13.000000,2.161496,1.000000,351772774723175945240313856.000000,1101149235507942335184896.000000
127.000000,14.000000,2.160567,1.000000,5168008095232388395654184960.000000,15907261847074695830044672.000000
128.000000,15.000000,2.159768,1.000000,75936742359308575603467223040.000000,230502587116288636029501440.000000
129.000000,15.000000,2.159087,1.000000,1115918666750866172723037470720.000000,3348610507436691355745648640.000000
130.000000,16.000000,2.158512,1.000000,16400346841080390355048651030528.000000,48749796161893594093485817856.000000
131.000000,16.000000,2.158029,1.000000,241048545851857099480496691216384.000000,710954371619210137988885381120.000000
132.000000,16.000000,2.157625,1.000000,3543074141007450217987329272840192.000000,10383375743446768711858531598336.000000
133.000000,16.000000,2.157289,1.000000,52080488360825145050111423933317120.000000,151828328566666338001436029222912.000000
134.000000,16.000000,2.157010,1.000000,765570101089105585538068233653846016.000000,2222248777074882859358913776582656.000000
135.000000,16.000000,2.156779,1.000000,11253999741070619830294426255957688320.000000,32552342776558404869761151010865152.000000
136.000000,16.000000,2.156589,1.000000,165439208250245351137171043187918110720.000000,477154302441130205058377364579287040.000000
137.000000,16.000000,2.156432,1.000000,2432079059901618224097310651294423187456.000000,6997949633359742304632660769921564672.000000
138.000000,16.000000,2.156303,1.000000,35753876128583658120082988842826915119104.000000,102677588930255349701666595945094053888.000000
139.000000,16.000000,2.156197,1.000000,525622046034727378281760519680144864968704.000000,1507087552118463911995416712776823865344.000000
140.000000,16.000000,2.156110,1.000000,7727305000437385206250340805967219869614080.000000,22127411918582957352661175090925499580416.000000
141.000000,16.000000,2.156039,1.000000,113601955889238624400604338776188693797404672.000000,324959006960142866540385350059421136322560.000000
142.000000,16.000000,2.155980,1.000000,1670114386830861524469144867084028916810121216.000000,4773238143193526562083111138266416968368128.000000
143.000000,16.000000,2.155933,1.000000,24553238428126692938719136035616003449323257856.000000,70124281049011089340469465972648717137739776.000000
144.000000,16.000000,2.155893,1.000000,360971652328735722321505239406785226509769506816.000000,1030342531580559993530024764811539338768678912.000000
