# step,rank,entropy,components,curvature,nabla_t
.000000,12.000000,2.483057,9.000000,5.175961,11.735909
1.000000,9.000000,2.576942,2.000000,10.040939,5.149952
2.000000,10.000000,2.537922,2.000000,.728262,2.683972
3.000000,9.000000,2.446203,.000000,.379708,.967953
4.000000,9.000000,2.460463,.000000,.038826,.627419
5.000000,9.000000,2.551937,.000000,.006097,.211920
6.000000,10.000000,2.547535,.000000,.003732,.118510
7.000000,9.000000,2.679458,.000000,.003528,.117930
8.000000,8.000000,2.543263,.000000,.002799,.106127
9.000000,8.000000,2.646615,.000000,.005878,.124881
10.000000,9.000000,2.499666,.000000,.006131,.128133
11.000000,9.000000,2.554198,.000000,.005161,.131450
12.000000,9.000000,2.604096,.000000,.007485,.136978
13.000000,9.000000,2.634129,.000000,.011527,.134324
14.000000,9.000000,2.499401,.000000,.004570,.135776
15.000000,9.000000,2.567292,.000000,.014907,.151074
16.000000,9.000000,2.512997,.000000,.004625,.159918
17.000000,9.000000,2.616945,.000000,.004105,.119966
18.000000,9.000000,2.482204,.000000,.005307,.127781
19.000000,9.000000,2.421779,.000000,.003931,.110681
20.000000,8.000000,2.538249,.000000,.005178,.111283
21.000000,9.000000,2.418699,.000000,.003814,.132311
22.000000,9.000000,2.407197,.000000,.001838,.107820
23.000000,9.000000,2.601050,.000000,.005736,.117068
24.000000,9.000000,2.359339,.000000,.008576,.119487
25.000000,8.000000,2.484276,.000000,.008220,.143069
26.000000,9.000000,2.497419,.000000,.004992,.136612
27.000000,9.000000,2.482105,.000000,.004050,.116745
28.000000,9.000000,2.549159,.000000,.004596,.117050
29.000000,10.000000,2.604210,.000000,.005959,.128389
30.000000,9.000000,2.492929,.000000,.002268,.126812
31.000000,9.000000,2.416239,.000000,.003246,.103977
32.000000,9.000000,2.548708,.000000,.005403,.106571
33.000000,9.000000,2.596880,.000000,.014201,.143083
34.000000,9.000000,2.364988,.000000,.008715,.154674
35.000000,9.000000,2.586558,.000000,.004345,.139349
36.000000,9.000000,2.603585,.000000,.004211,.119886
